DS_Name,2015,2016,2017,2018,2019,2020
Dinguiraye,3.25,3.65,3.99,3.82,3.29,2.9
Gaoual,2.46,3.29,3.1,3.31,2.63,3.49
Koubia,3.26,3.52,3.54,3.36,3,3.21
Koundara,3.16,2.75,2.49,3.41,2.42,3.54
Labe,,,3.04,3.33,2.92,3.55
Lelouma,,,3.83,3.25,3.03,3.58
Mali,3.2,3.4,2.97,3.8,2.92,3.78
Mandiana,,3.46,3.49,3.85,3.37,3.11
Siguiri,,3.48,2.12,1.43,1.78,1.87
Tougue,3.5,3.89,3.79,3.58,3.02,3.28
Dabola,,,,3.3,3.85,3.25
Kouroussa,,,,3.67,3.49,3.21
Kankan,,,,3.29,3.2,3.84
Pita,,,,,,2.88
Mamou,,,,,,2.84
Dalaba,,,,,,3.93
Faranah,,,,,,3.25
